# MJD Mag Magerr
5.914018515050000133e+04 2.057863619999999827e+01 9.296928872565403401e-02
5.915515293979999842e+04 2.071047589999999872e+01 9.911868244622257240e-02
5.916420390049999696e+04 2.070111470000000153e+01 9.868204118041276618e-02
5.916921763890000148e+04 2.108870509999999854e+01 1.167605942930684398e-01
5.917117782409999927e+04 2.070268820000000076e+01 9.875546078461014399e-02
5.917317504629999894e+04 2.059298520000000110e+01 9.363858085039629409e-02
5.918213670139999886e+04 2.028215030000000141e+01 7.629498886925163703e-02
5.918413968749999913e+04 2.050912860000000038e+01 8.972718433492382628e-02
5.918616156249999767e+04 1.993149379999999837e+01 5.884730539590481146e-02
5.918813662040000054e+04 2.063392259999999823e+01 9.554800109062418223e-02
5.919516328700000304e+04 2.080635260000000031e+01 1.035907156442266025e-01
5.919816339120000339e+04 2.047394179999999864e+01 8.765313266547294924e-02
5.920315357640000002e+04 2.054783249999999839e+01 9.153250290061187844e-02
5.920410141200000362e+04 2.054392239999999958e+01 9.135009127137597162e-02
5.922013761569999770e+04 2.058146100000000089e+01 9.310103968955182885e-02
5.923212444439999672e+04 2.057349209999999928e+01 9.272930446229390999e-02
5.935646557870000106e+04 2.065562819999999888e+01 9.656045284338306278e-02
5.935946555559999979e+04 2.020074460000000016e+01 7.186717317959556706e-02
5.936645749999999680e+04 2.051260380000000083e+01 8.988928149344303786e-02
5.936941416670000035e+04 2.110911559999999909e+01 1.177126075079189538e-01
5.937141628469999705e+04 2.057640079999999827e+01 9.286501734548668896e-02
5.937441398150000168e+04 2.077610400000000013e+01 1.021798078060555531e-01
5.937641163190000225e+04 2.068871120000000019e+01 9.810353308109349968e-02
5.937744596060000185e+04 2.086611369999999965e+01 1.063781397680521185e-01
5.937842868060000183e+04 2.069518659999999954e+01 9.840555747922136165e-02
5.938242305559999659e+04 2.074411010000000033e+01 1.006875565250971438e-01
5.938438791669999773e+04 2.072661400000000143e+01 9.987142519196012813e-02
5.938542438660000334e+04 2.104478650000000073e+01 1.147120889774082692e-01
5.939644429400000081e+04 2.066754530000000045e+01 9.711628544244323147e-02
5.940039020829999936e+04 2.100126270000000162e+01 1.126819599527775634e-01
5.940234531250000146e+04 2.060935399999999973e+01 9.440202848569421989e-02
5.940839276619999873e+04 2.104685399999999973e+01 1.148085213717993658e-01
5.941045072919999802e+04 2.079237559999999974e+01 1.029387886478167202e-01
5.941244886569999653e+04 2.065021709999999899e+01 9.630807794789619791e-02
5.941544461810000212e+04 2.094183350000000132e+01 1.099099613633836292e-01
5.942244534720000229e+04 2.080776600000000087e+01 1.036566335525823807e-01
5.942428340279999975e+04 2.082330130000000068e+01 1.043813062804271607e-01
5.942637123840000277e+04 2.066928100000000157e+01 9.719729159529597040e-02
5.942832917820000148e+04 2.100720600000000005e+01 1.129592016724384057e-01
5.943032550929999707e+04 2.088709640000000078e+01 1.073568738410568824e-01
5.943540813660000276e+04 2.063725660000000062e+01 9.570352357029190959e-02
5.944040856479999638e+04 2.062368770000000140e+01 9.507064603056721019e-02
5.944334645830000227e+04 2.093976779999999849e+01 1.098136138218062663e-01
5.945322400460000063e+04 2.060179330000000064e+01 9.404942827504196579e-02
5.945524447920000239e+04 2.081441309999999945e+01 1.039666659350071687e-01
5.945930089120000048e+04 2.087942890000000062e+01 1.069992156955988233e-01
5.946124511570000323e+04 2.086064530000000161e+01 1.061231514059019915e-01
5.946324667819999740e+04 2.083840560000000153e+01 1.050857486832621757e-01
5.946722339120000106e+04 2.073792650000000037e+01 1.003991036274205911e-01
5.946926068289999967e+04 2.082077220000000040e+01 1.042632951083945908e-01
5.947128730319999886e+04 2.078182410000000147e+01 1.024465977803836747e-01
5.947336747689999902e+04 2.103544619999999910e+01 1.142763747285885922e-01
5.948526450230000046e+04 2.084599109999999911e+01 1.054396139079459699e-01
5.948726223380000010e+04 2.061214640000000031e+01 9.453226199843957345e-02
5.951720131940000283e+04 2.080717280000000002e+01 1.036289849703311838e-01
5.952031050929999765e+04 2.065786549999999977e+01 9.666480836925733788e-02
5.952222643519999838e+04 2.101020809999999983e+01 1.130992137648608176e-01
5.952415724539999792e+04 2.098952669999999898e+01 1.121345567736559135e-01
5.952620535879999807e+04 2.085144419999999954e+01 1.056939276902268271e-01
5.954211287040000025e+04 2.103661350000000141e+01 1.143308290218077589e-01
5.973345275460000266e+04 2.125774570000000097e+01 1.246451743145534086e-01
5.973545346060000156e+04 2.146837999999999980e+01 1.344698573537155550e-01
5.974244958329999645e+04 2.084079170000000047e+01 1.051971010307363175e-01
5.975542799769999692e+04 2.102909470000000169e+01 1.139801669908427767e-01
5.975738349539999763e+04 2.096107479999999867e+01 1.108074361393080048e-01
5.975742746530000295e+04 2.138804239999999979e+01 1.307226651749702484e-01
5.975944524310000270e+04 2.126482389999999967e+01 1.249753521691742419e-01
5.976340131939999992e+04 2.098237040000000064e+01 1.118007535825679688e-01
5.976540903940000135e+04 2.128964810000000085e+01 1.261332105319891705e-01
5.976838516199999867e+04 2.104141620000000046e+01 1.145548814622809747e-01
5.976845666670000355e+04 2.109305189999999897e+01 1.169633211001278456e-01
5.977041467589999957e+04 2.100819020000000137e+01 1.130050575471983620e-01
5.978136839119999786e+04 2.109242439999999874e+01 1.169340709210172913e-01
5.978334150460000092e+04 2.126478960000000029e+01 1.249737505723148567e-01
5.978534392359999765e+04 2.126555060000000097e+01 1.250092388474490224e-01
5.978736645829999907e+04 2.095320889999999991e+01 1.104405905554419753e-01
5.978938057870000193e+04 2.139233019999999996e+01 1.309226102239524625e-01
5.979330866899999819e+04 2.123971560000000025e+01 1.238041761572424293e-01
5.979532505790000141e+04 2.154833789999999993e+01 1.381993478213006388e-01
5.979838601850000123e+04 2.141237260000000120e+01 1.318575114546982618e-01
5.980344728010000108e+04 2.060829730000000026e+01 9.435280112580156364e-02
5.980627255790000345e+04 2.069179150000000078e+01 9.824725394858321859e-02
5.981228874999999971e+04 2.140125659999999996e+01 1.313390211647525174e-01
5.981432512729999871e+04 2.138132480000000157e+01 1.304093454531196905e-01
5.982027562500000204e+04 2.124534609999999901e+01 1.240668352137548475e-01
5.982233039350000035e+04 2.111025809999999936e+01 1.177658809328135520e-01
5.982426900459999888e+04 2.142960929999999919e+01 1.326615045928294101e-01
5.983922266200000013e+04 2.106118389999999962e+01 1.154768857724446929e-01
5.983929067129999748e+04 2.092164229999999847e+01 1.089682323095586963e-01
5.984120619209999859e+04 2.126273349999999951e+01 1.248778244663790726e-01
5.984730127309999807e+04 2.106277659999999941e+01 1.155511482479252561e-01
5.984922473380000156e+04 2.115457920000000058e+01 1.198331839751447803e-01
5.985332104170000093e+04 2.140912820000000139e+01 1.317062040385531818e-01
5.985532034720000229e+04 2.116710090000000122e+01 1.204172548835116541e-01
5.985729641200000333e+04 2.091384120000000024e+01 1.086043360680770120e-01
5.986522353009999642e+04 2.039000509999999977e+01 8.252235949722233621e-02
5.987422012730000279e+04 2.100464819999999833e+01 1.128398420477741138e-01
5.987724215279999771e+04 2.082198139999999853e+01 1.043196875813009877e-01
5.987924136569999973e+04 2.105708890000000011e+01 1.152858764318563517e-01
5.988215317130000039e+04 2.081271549999999948e+01 1.274844385578280670e-01
5.990218393520000245e+04 2.076764299999999963e+01 1.017851446414176492e-01
5.990617920140000206e+04 2.086615370000000169e+01 1.063800786548461247e-01
5.992415572919999977e+04 2.085930060000000097e+01 1.060603525455580398e-01
