###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57403.215138  21.401  3.273    10   33 c  0   1.13 341.47850  37.72398  9843.58  5537.63 4.28 3.72  80.8 -0.455 18.82 20.17 02a57403o0044c
57403.218172 -20.622  1.419   -20   29 c  0   0.94 341.47850  37.72398   447.88  6072.83 4.33 3.84 -53.0 -0.440 18.84 20.19 02a57403o0049c
57403.226810  22.831 10.333     3   28 c  0   1.27 341.47850  37.72398 10136.89  6114.02 4.20 3.57  79.5 -0.473 18.91 20.31 02a57403o0062c
57403.240118  20.946  1.941    15   30 c  0   1.02 341.47850  37.72398  9263.54  4915.32 4.12 3.55  77.9 -0.491 18.86 20.25 02a57403o0084c
57403.255870 -20.487  1.615   -23   38 c  0   1.13 341.47850  37.72398  8969.96  6672.56 4.12 3.39  81.5 -0.490 18.79 20.14 02a57403o0110c
57524.559467 -16.746  0.609  -727  443 o  0   1.19 341.47850  37.72398    65.30  5152.76 4.61 3.86 -36.6 -0.391 15.95 17.43 02a57524o0543o
57524.567059  18.602  1.455   132  191 o  0   1.00 341.47850  37.72398  9765.49  5227.07 4.27 3.71  70.2 -0.531 16.59 18.00 02a57524o0555o
57524.579985  18.682  2.750   122  336 o  0   1.49 341.47850  37.72398   102.83  5196.04 4.35 3.64 -49.6 -0.421 15.97 17.34 02a57524o0577o
57524.590357  23.606 25.500     1   33 o  0   1.07 341.47850  37.72398  9798.86  5269.49 4.41 3.67  78.1 -0.483 18.53 20.01 02a57524o0593o
57524.592856 -18.614  7.041  -130  916 o  0   0.00 341.47850  37.72398    41.38  5114.06 4.80 4.01 -31.6 -0.383 18.60 20.13 02a57524o0597o
57524.605658  19.758  0.579    45   26 o  0   1.15 341.47850  37.72398  9739.44  5196.05 4.26 3.45  78.8 -0.481 18.88 20.34 02a57524o0617o
57524.622344 -21.045 13.895   -14  193 o  0   1.28 341.47850  37.72398  9726.57  5315.02 4.16 3.25  80.2 -0.513 17.36 17.84 02a57524o0641o
57524.624288 -17.615  0.609  -327  199 o  0   1.00 341.47850  37.72398    60.90  5177.96 4.24 3.52 -51.4 -0.439 17.33 17.60 02a57524o0645o
57528.582581  19.668  0.979    49   48 o  0   0.98 341.47850  37.72398  2081.74  3527.20 4.59 3.72 -22.2 -0.451 18.24 19.25 02a57528o0677o
57532.575520  19.345  0.825    66   55 o  0   1.04 341.47850  37.72398 10491.51  3066.67 4.53 3.66  60.2 -0.504 18.57 19.62 02a57532o0610o
57532.577610  19.679  0.789    49   38 o  0   1.16 341.47850  37.72398   785.58  3039.08 4.67 3.52 -30.2 -0.478 18.52 19.55 02a57532o0613o
57532.590243  19.779  0.944    44   42 o  0   1.01 341.47850  37.72398   802.07  3082.90 4.58 3.49 -31.2 -0.484 18.56 19.61 02a57532o0634o
57532.599625 -18.767  1.523  -113  172 o  0   0.13 341.47850  37.72398 10512.14  3111.14 4.38 3.55  60.5 -0.508 18.61 19.68 02a57532o0649o
57532.606358  21.161  2.880    12   36 o  0   1.28 341.47850  37.72398   757.91  3004.68 4.62 3.46 -31.3 -0.482 18.56 19.59 02a57532o0660o
57532.616007  19.433  0.924    61   57 o  0   1.11 341.47850  37.72398 10466.19  3036.67 4.36 3.56  58.3 -0.536 18.35 19.18 02a57532o0675o
57532.623848 -19.749  2.510   -46  115 o  0   1.03 341.47850  37.72398   730.64  3120.79 4.46 3.42 -33.1 -0.495 17.51 17.52 02a57532o0686o
57542.565725  19.722  0.418    47   20 c  0   1.13 341.47850  37.72398 10065.74  5650.31 4.24 3.31  81.0 -0.453 19.39 21.35 02a57542o0641c
57542.579211  21.552  1.773     9   15 c  0   1.14 341.47850  37.72398   371.42  5589.01 4.18 3.57 -47.2 -0.412 19.55 21.55 02a57542o0664c
57542.589930  20.188  0.543    30   17 c  0   1.02 341.47850  37.72398 10097.14  5689.66 4.27 3.44  77.2 -0.449 19.57 21.60 02a57542o0682c
