# MJD Mag Magerr
5.865540153940000164e+04 1.913852310000000045e+01 3.648646355322328338e-02
5.865545409720000316e+04 1.931649399999999872e+01 4.395472703266348202e-02
5.865840472220000083e+04 1.921064189999999883e+01 4.059911878065603635e-02
5.866143276619999961e+04 1.930866620000000111e+01 4.369644588636541205e-02
5.866543486110000231e+04 1.921108059999999895e+01 4.061242928799441154e-02
5.866836178240000299e+04 1.930967899999999915e+01 4.372978929450022784e-02
5.867142887730000075e+04 1.928339000000000070e+01 4.287375260229898261e-02
5.867248711809999804e+04 1.922623630000000006e+01 3.891143775177736269e-02
5.867446979170000122e+04 1.927456859999999850e+01 4.259061007654914299e-02
5.867537351849999686e+04 1.925182720000000103e+01 4.187008863119534574e-02
5.867537396989999979e+04 1.929812049999999957e+01 4.335114464404061368e-02
5.867538625000000320e+04 1.926923559999999824e+01 4.242046059813781717e-02
5.867540010420000181e+04 1.927082820000000041e+01 4.247120272217712322e-02
5.867540835649999644e+04 1.925262070000000136e+01 4.189501845858353835e-02
5.867543784720000258e+04 1.919115449999999967e+01 4.001261903120646723e-02
5.867543829859999823e+04 1.929838369999999870e+01 4.335973210234474184e-02
5.867635223379999661e+04 1.919832990000000095e+01 4.022749159931427593e-02
5.867635268519999954e+04 1.917011640000000128e+01 3.939003371352464006e-02
5.867636259260000224e+04 1.921638490000000132e+01 4.077374898260770208e-02
5.867636424770000303e+04 1.924357029999999824e+01 4.161182063708340761e-02
5.867638915509999788e+04 1.935901640000000157e+01 4.538679263709848033e-02
5.867638960650000081e+04 1.928776930000000078e+01 4.301508938856526271e-02
5.867641513890000351e+04 1.927518650000000022e+01 4.261040326814675983e-02
5.867730148149999877e+04 1.932569120000000140e+01 4.426027586312081263e-02
5.867736574069999915e+04 1.923530200000000079e+01 4.135493029911325308e-02
5.867736619210000208e+04 1.931929969999999841e+01 4.404767402701943030e-02
5.867738749999999709e+04 1.921191410000000133e+01 4.063772794227966945e-02
5.867739871529999800e+04 1.928149219999999886e+01 4.281266600102567182e-02
5.867741989579999790e+04 1.932491489999999956e+01 4.423440296741854710e-02
5.867743270830000256e+04 1.933869169999999826e+01 4.469612700781333547e-02
5.867743315969999821e+04 1.924261089999999896e+01 4.158191214155956134e-02
5.867835618059999979e+04 1.928811650000000100e+01 4.302630311216538300e-02
5.867835663190000196e+04 1.915661240000000021e+01 3.899610289938001961e-02
5.867838225689999672e+04 1.919100949999999983e+01 4.000831480151870873e-02
5.867839111109999794e+04 1.917584799999999845e+01 3.955856837217976846e-02
5.867839609950000158e+04 1.921721080000000015e+01 4.079893697468170433e-02
5.867840258100000210e+04 1.925398639999999872e+01 4.193794768908683246e-02
5.867840915510000195e+04 1.930301670000000058e+01 4.351108929880721093e-02
5.867840960649999761e+04 1.928789330000000035e+01 4.301909599700882297e-02
5.867936003470000287e+04 1.931200409999999934e+01 4.380637539357443849e-02
5.867936048609999852e+04 1.935195919999999958e+01 4.514567580080693088e-02
5.867938765050000075e+04 1.927224539999999919e+01 4.251638415848917746e-02
5.867938810189999640e+04 1.924763109999999955e+01 4.173860884274812472e-02
5.867940510419999919e+04 1.931313319999999933e+01 4.384365689150571815e-02
5.867941217589999724e+04 1.928894229999999865e+01 4.305303210204763226e-02
5.867941702549999900e+04 1.930939670000000064e+01 4.372049062819558657e-02
5.867942318289999821e+04 1.926831440000000129e+01 4.239113164733183253e-02
5.867942363430000114e+04 1.926255799999999851e+01 4.220841186096067899e-02
5.868035262730000250e+04 1.926207730000000140e+01 4.219319951922362311e-02
5.868035307869999815e+04 1.919524380000000008e+01 4.013492658404152480e-02
5.868036025459999655e+04 1.917349619999999888e+01 3.948934749733840066e-02
5.868037616900000285e+04 1.930673219999999901e+01 4.363291474623885724e-02
5.868037953700000071e+04 1.929113960000000105e+01 4.312419179297233979e-02
5.868039112269999896e+04 1.929608920000000083e+01 4.328497147013683766e-02
5.868040827549999813e+04 1.940828319999999962e+01 4.710904984407429663e-02
5.868040872690000106e+04 1.917409710000000089e+01 3.950702806600586009e-02
5.868132570600000327e+04 1.928195189999999926e+01 4.282746482671708627e-02
5.868132615739999892e+04 1.913003919999999880e+01 3.823375071390750640e-02
5.868134965280000324e+04 1.913800619999999952e+01 3.846053760701424046e-02
5.868135010419999890e+04 1.929355620000000116e+01 4.320260335891286385e-02
5.868137130790000083e+04 1.927126309999999876e+01 4.248504271107324953e-02
5.868137351849999686e+04 1.927859499999999926e+01 4.271961103146423161e-02
5.868138755790000141e+04 1.929353139999999911e+01 4.320178679200194910e-02
5.868138800929999707e+04 1.920136069999999862e+01 4.031860513649729305e-02
5.868229583329999878e+04 1.934111400000000103e+01 4.477784443937726094e-02
5.868234694440000021e+04 1.917590519999999898e+01 3.956026217576342346e-02
5.868234980319999886e+04 1.930627820000000128e+01 4.361800009645667997e-02
5.868235972220000258e+04 1.925144200000000083e+01 4.185800559051842951e-02
5.868236178240000299e+04 1.929087639999999837e+01 4.311564916523814156e-02
5.868333431710000150e+04 1.930537220000000076e+01 4.358827863067645664e-02
5.868333476849999715e+04 1.933464620000000167e+01 4.455999268897895688e-02
5.868334930560000066e+04 1.923940280000000058e+01 4.148212155564325043e-02
5.868334975690000283e+04 1.924334909999999965e+01 4.160491114317104583e-02
5.868336444440000196e+04 1.923970789999999909e+01 4.149160463539642435e-02
5.868336664349999774e+04 1.924990269999999981e+01 4.180974484559567272e-02
5.868342194439999730e+04 1.926864050000000006e+01 4.240148920604129568e-02
5.868430515049999667e+04 1.933318330000000174e+01 4.451088631505657062e-02
5.868430560189999960e+04 1.922846600000000095e+01 4.114387992600047200e-02
5.868433474540000316e+04 1.938378330000000105e+01 4.624400687422242778e-02
5.868434325230000104e+04 1.927030750000000126e+01 4.245459688510638124e-02
5.868434370369999669e+04 1.924576190000000153e+01 4.168018541774479863e-02
5.868437628470000345e+04 1.933678049999999971e+01 4.463173185391084569e-02
5.868437673609999911e+04 1.919285199999999847e+01 4.006333485087350960e-02
5.868539805560000241e+04 1.926018330000000134e+01 3.989768985479037744e-02
5.868539850689999730e+04 1.919655609999999868e+01 3.807127984945444382e-02
5.869040562499999942e+04 1.926352689999999868e+01 4.223911061902318326e-02
5.869338262730000133e+04 1.933213040000000049e+01 4.447558308976701236e-02
5.869638109950000216e+04 1.931728550000000055e+01 4.398093446058391753e-02
5.869938465279999946e+04 1.925531580000000176e+01 4.197976520630875008e-02
5.870043446759999642e+04 1.931391909999999967e+01 4.151545711489280227e-02
5.870043491899999935e+04 1.925207899999999839e+01 3.965976822191098067e-02
5.870419267360000231e+04 1.937523840000000064e+01 4.594630261568490026e-02
5.870419312499999796e+04 1.936170200000000108e+01 4.547892037753774319e-02
5.870421603009999671e+04 1.922484210000000004e+01 4.103247002003435062e-02
5.870422523150000052e+04 1.928694919999999868e+01 4.298858426868994165e-02
5.870422568290000345e+04 1.929274750000000083e+01 4.317635378742826907e-02
5.870423759260000224e+04 1.937436100000000039e+01 4.591586202230820563e-02
5.870425546300000133e+04 1.928599549999999851e+01 4.295778022242772304e-02
5.870528951390000293e+04 1.933954809999999824e+01 4.472498700540204070e-02
5.870528997689999960e+04 1.940897749999999888e+01 4.713384277558963636e-02
5.870531462959999772e+04 1.928281020000000012e+01 4.285509467063856187e-02
5.870532391199999984e+04 1.933649439999999942e+01 4.462210657498397876e-02
5.870533540509999875e+04 1.936524010000000118e+01 4.560059308990465493e-02
5.870535016200000246e+04 1.931934740000000161e+01 4.404925455209673935e-02
5.870535061339999811e+04 1.932016940000000105e+01 4.407655248009512139e-02
5.870545304400000168e+04 1.925820729999999870e+01 4.207087089460648938e-02
5.870625328699999955e+04 1.930569459999999893e+01 4.359887066599456296e-02
5.870625373840000248e+04 1.930456919999999954e+01 4.356197107643580008e-02
5.870627459490000183e+04 1.926098440000000167e+01 4.215861273452476549e-02
5.870630916669999715e+04 1.930628199999999950e+01 4.361811860755320652e-02
5.870633625000000029e+04 1.932540510000000111e+01 4.425073487132225730e-02
5.870633670140000322e+04 1.933739470000000082e+01 4.465243650614941773e-02
5.870727621530000033e+04 1.927646640000000033e+01 4.265135415529765217e-02
5.870727667820000352e+04 1.930402369999999834e+01 4.354408240624262766e-02
5.870730797449999955e+04 1.931333539999999971e+01 4.385030298814208971e-02
5.870731980320000002e+04 1.930780409999999847e+01 4.366811529962377758e-02
5.870732421299999987e+04 1.928507610000000128e+01 4.292812727529459610e-02
5.870733474540000316e+04 1.932667539999999917e+01 4.429312408437676568e-02
5.870734824069999740e+04 1.926951790000000031e+01 4.242941681262833026e-02
5.870734868060000008e+04 1.931549449999999979e+01 4.392164178921447587e-02
5.870825490739999805e+04 1.930039220000000100e+01 4.342529674015262880e-02
5.870825535880000098e+04 1.931499290000000002e+01 4.390508071200298346e-02
5.870827313660000073e+04 1.933207889999999907e+01 4.447382345454203162e-02
5.870829336809999950e+04 1.922797389999999851e+01 4.112872549630879060e-02
5.870830163190000167e+04 1.918147659999999988e+01 3.972488250340993482e-02
5.870832450229999813e+04 1.951063540000000174e+01 5.091290305488150453e-02
5.870832495370000106e+04 1.939794350000000023e+01 4.674190868957373707e-02
5.870848732639999798e+04 1.928773500000000141e+01 4.301397251340437905e-02
5.870928256939999847e+04 1.939031410000000122e+01 4.647294853382347851e-02
5.870928302080000140e+04 1.925604249999999951e+01 4.200262724133671521e-02
5.870929912039999908e+04 1.937201879999999932e+01 4.583466615270608696e-02
5.870930927079999674e+04 1.939581300000000041e+01 4.666660280732685961e-02
5.870935061339999811e+04 1.932163999999999859e+01 4.412541914481868388e-02
5.870935106480000104e+04 1.918820189999999926e+01 3.992461379401219396e-02
5.871026273149999906e+04 1.932024380000000008e+01 4.407900493854430973e-02
5.871026318290000199e+04 1.929092220000000069e+01 4.311715325207240296e-02
5.871029232639999827e+04 1.933689310000000106e+01 4.463554089671974145e-02
5.871030405089999840e+04 1.926309390000000121e+01 4.222539967711461811e-02
5.871031680559999950e+04 1.930957409999999896e+01 4.372633323939650180e-02
5.871032730319999973e+04 1.931384849999999886e+01 4.386726704550818201e-02
5.871032775460000266e+04 1.937625500000000045e+01 4.598162168016634715e-02
5.871139061339999898e+04 1.921309660000000008e+01 3.853697881990898744e-02
